songID	songName	artistName	albumID	albumName	recordLabelName	duration	bpm	dateAdded	lastPlayed	popularity	requests	credit_by	plays	genres	credit_original	credit_remix	credit_mixed	credit_vocals
237	Red Skies	Chicane	124	Far From The Maddening Crowds		7:35	137	Nov 22, 2000	May 15, 2003, 7:59:41 PM	2	419	Chicane	298					
238	Saltwater	Chicane	125	Saltwater		9:47	131	Nov 22, 2000	Jun 29, 2003, 2:21:26 AM	4	2612	Chicane						
239	Strong in Love	Chicane				7:05		Nov 22, 2000	Jul 28, 2002, 3:59:14 AM	1	272	Chicane						
240	Take Me Away (Club Mix)	Kosmonova				4:19		Nov 22, 2000	Sep 25, 2002, 5:12:33 AM	1	81	Kosmonova						
241	The Good One	Cosmic Dawn								1								
242	Wow & Flutter	Cosmic Dawn				7:37		Nov 28, 2000	May 17, 2003, 8:24:34 AM	1	136		147					
243	Liebe	Ayla	214	Liebe	Intercord Ton GmbH	3:47	140	Nov 28, 2000	May 4, 2003, 1:57:00 PM	1	253							
244	Heaven Scent	Bedrock	131	Bedrock-Foundations		3:52	137	Nov 28, 2000	May 18, 2003, 1:26:31 AM	2	506	Bedrock						
245	Communication (Kimball Collins Mix)	Armin van Buuren				6:59	123	Nov 30, 2000	Jun 30, 2003, 8:55:13 AM	1	263				Armin van Buuren	Kimball Collins		
246	For What You Dream Of	Bedrock	245	The Stress Compilation Volume 1	Moonshine	3:58	137	Nov 30, 2000	May 16, 2003, 12:25:45 PM	1	139	Bedrock						
247	Sacred Cycles	Peter Lazonby				11:05		Nov 30, 2000	Jan 16, 2002, 8:43:18 PM	1	89	Peter Lazonby	89					
248	Children (Dream Version)	Robert Miles	120	Dreamland		7:05	157	Dec 01, 2000	May 15, 2003, 3:00:00 PM	2	1019							
249	Fable (Message Version)	Robert Miles	120	Dreamland		6:24	136	Dec 01, 2000	Jun 23, 2003, 8:53:06 AM	1	384	Robert Miles						
250	Fantasya	Robert Miles	120	Dreamland		5:43	127	Dec 01, 2000	Jun 30, 2003, 8:56:59 AM	1	154	Robert Miles						
251	Enjoy	Robert Miles	119	23am		5:56	127	Dec 01, 2000	Apr 27, 2003, 2:02:48 PM	1	118	Robert Miles						
252	Everyday Life	Robert Miles	119	23am		10:30	158	Dec 01, 2000	May 14, 2003, 10:39:27 AM	2	577	Robert Miles						
253	Flying Away	Robert Miles	119	23am		4:57	136	Dec 01, 2000	Jun 23, 2003, 8:59:40 AM	1	135							
254	Content	BT	121	E.S.C.M.		11:01	131	Dec 01, 2000	Jun 25, 2003, 9:25:22 PM	1	381	BT						
255	Deeper Sunshine	BT	122	Ima	Warner Brothers	7:02	127	Dec 01, 2000	May 7, 2003, 5:00:33 AM	1	189	BT						
256	Embracing the Future (Sunshine Mix)	BT	122	Ima	Warner Brothers	5:16	130	Dec 01, 2000	Jun 22, 2003, 10:30:37 AM	1	154	BT						
257	Embracing the Sunshine	BT	122	Ima	Warner Brothers	10:55	128	Dec 01, 2000	Jun 28, 2003, 3:31:28 AM	1	346	BT						
258	Firewater	BT	121	E.S.C.M.		8:45		Dec 01, 2000	May 10, 2003, 8:52:01 AM	2	461	BT						
259	Flaming June	BT	121	E.S.C.M.		8:36	138	Dec 01, 2000	Jun 17, 2003, 10:38:24 AM	2	778	BT	422					
260	Freedom	Robert Miles	119	23am		5:51		Dec 01, 2000	Jul 8, 2003, 6:01:51 PM	1	113							
261	Full Moon	Robert Miles	119	23am		6:58	155	Dec 01, 2000	Jul 4, 2003, 9:03:13 AM	2	500	Robert Miles						
262	Heatwave	Robert Miles	119	23am		5:49	159	Dec 01, 2000	Jun 24, 2003, 6:56:14 AM	1	113	Robert Miles						
263	Loving You More	BT	122	Ima	Warner Brothers	12:59	130	Dec 01, 2000	Jun 30, 2003, 6:06:16 AM	1	316	BT						
264	Maresias	Robert Miles	119	23am		5:49		Dec 01, 2000	May 6, 2003, 11:45:57 PM	1	259	Robert Miles						
265	Nectar	BT	121	E.S.C.M.		5:55	133	Dec 01, 2000	Jun 30, 2003, 9:07:18 AM	1	196	BT						
266	New Flower	Robert Miles	119	23am		5:55		Dec 01, 2000	Jul 12, 2002, 8:25:26 AM	1	170	Robert Miles						
267	Nocturnal Transmission	BT	122	Ima	Warner Brothers	8:36	130	Dec 01, 2000	Jun 22, 2003, 6:55:31 AM	1	284	BT						
268	Quark	BT	122	Ima	Warner Brothers	6:27	131	Dec 01, 2000	Jul 6, 2003, 4:11:11 PM	1	175							
269	Remember	BT	121	E.S.C.M.		8:00	129	Dec 01, 2000	Jul 6, 2003, 7:13:16 PM	1	389		243					
270	Textures	Robert Miles	119	23am		3:14		Dec 01, 2000	Jul 8, 2002, 11:08:31 AM	1	76	Robert Miles	96					
271	X-Files (Radio Edit)	Anasazi	251	X-Files	SPV	3:30	125	Dec 01, 2000	Jun 22, 2003, 12:53:46 PM	1	573	Anasazi						
272	Sexuality	Legend B				3:41		Dec 21, 2000	Jan 10, 2002, 10:28:44 AM	1	66	Legend B	63					
273	Lollipop Man	Union Jack	246	There Will Be No Armageddon	Platipus	7:17	146	Dec 27, 2000	May 17, 2003, 7:59:09 PM	1	206		192					
274	Red Herring (Original Mix)	Union Jack								1								
275	Dreams	Quench	138	Sequenchial						1								
276	Embrace the Sunshine	Quench	314	Consequenchial	Festival	3:45	129	Dec 27, 2000	May 13, 2003, 12:26:57 PM	1	98		123					
277	Waterfront (Union Jack Mix)	Simple Minds								1								
278	There Will Be No Armageddon	Union Jack								1								
279	Two Full Moons and a Trout	Union Jack	246	There Will Be No Armageddon	Platipus	6:53	124	Dec 27, 2000	May 26, 2003, 2:00:29 AM	1	271		209					
280	Yeti	Union Jack				8:18	138	Dec 27, 2000	May 17, 2003, 8:01:10 PM	1	166		158					
281	Water Drums	Union Jack	246	There Will Be No Armageddon	Platipus	9:08	135	Dec 27, 2000	May 28, 2003, 3:18:51 AM	3	1623		615					
283	Descents	Paul Oakenfold	123	Get Carter (Soundtrack)		2:56	130	Dec 29, 2000	Jul 4, 2003, 9:17:48 AM	2	499	Paul Oakenfold						
284	Spirit of Man	Twelve Tone								1								
285	1998 (Paul Van Dyk Remix)	Binary Finary	129	Tranceport	Kinetic Records	8:02	157	Feb 16, 2001	May 18, 2003, 4:59:37 PM	3	1193				Binary Finary	Paul Van Dyk		
286	Alright	Taucher								1								
287	Amazone Dreaming	Taucher				4:13	153	Feb 16, 2001	Jul 8, 2003, 5:17:08 PM	1	104							
288	Ambient Galaxy	Astral Projection				10:17	140	Feb 16, 2001	Jun 30, 2003, 5:09:06 PM	3	1502							
289	Anamoly (Calling Your Name)	Libra 								1								
